tail_num,dep_delay,arr_delay,isCraft,isCarrier
N184DN,7.0,4.0,0.12903225806451613,0.7903225806451613
N184GJ,18.5,17.0,0.2358695652173913,0.6130434782608696
N184JB,18.0,18.0,0.21711057304277642,0.6255044390637611
N184SY,5.0,9.0,0.15036674816625917,0.687041564792176
N184US,9.0,10.0,0.13320079522862824,0.7266401590457257
N18556,9.0,20.0,0.1735261401557286,0.5461624026696329
N18557,12.0,19.0,0.19328703703703703,0.5497685185185185
N185AN,9.0,12.0,0.09828009828009827,0.7199017199017199
N185DN,10.0,5.0,0.05504587155963303,0.8623853211009175
N185GJ,15.0,13.5,0.20955882352941177,0.6458333333333334
N185SY,3.0,10.0,0.1395631067961165,0.7087378640776699
N185UW,10.0,10.0,0.154292343387471,0.722737819025522
N186AN,11.0,13.0,0.12557077625570776,0.7123287671232876
N186DN,5.0,5.0,0.046511627906976744,0.8023255813953488
N186GJ,17.0,16.0,0.20629750271444083,0.6188925081433225
N186PQ,15.0,16.0,0.2094361334867664,0.619102416570771
N186SY,4.0,10.0,0.1392978482446206,0.6930917327293318
N186US,8.0,9.0,0.1593625498007968,0.7201195219123506
N187AN,9.0,12.0,0.11409395973154363,0.7158836689038032
N187DN,10.0,6.0,0.05263157894736842,0.8157894736842105
N187GJ,17.0,16.0,0.22843822843822845,0.6118881118881119
N187JB,18.0,18.0,0.22488408037094282,0.6282843894899537
N187PQ,9.0,10.0,0.17684887459807075,0.7084673097534834
N187SY,4.0,10.0,0.15560916767189384,0.6851628468033776
N187US,8.0,8.0,0.13611615245009073,0.735934664246824
N188AN,11.0,15.0,0.13625866050808313,0.6928406466512702
N188DN,6.0,6.0,0.0641025641025641,0.8076923076923077
N188SY,5.0,10.0,0.16863207547169812,0.6910377358490566
N188US,10.0,11.0,0.15920398009950248,0.699502487562189
N189AN,12.0,14.0,0.13232104121475055,0.6854663774403471
N189DN,11.0,5.0,0.05660377358490566,0.8679245283018868
N189SY,2.0,9.0,0.12665862484921592,0.7189384800965019
N189UW,10.0,10.0,0.14838709677419354,0.710752688172043
N1902U,13.5,16.0,0.22542372881355932,0.5677966101694916
N190AA,9.0,13.0,0.10955710955710955,0.7132867132867133
N190DN,5.0,3.5,0.025,0.775
N190JB,21.0,19.0,0.21953125,0.65
N190UW,9.0,11.0,0.15984015984015984,0.6873126873126874
N19117,9.5,12.0,0.13034188034188035,0.6752136752136753
N19130,13.0,14.0,0.16204690831556504,0.6119402985074627
N19136,10.0,15.0,0.12224938875305623,0.6332518337408313
N19141,12.0,17.0,0.1615720524017467,0.6157205240174672
N191AN,11.0,15.0,0.13520408163265307,0.6301020408163265
N191DN,7.0,5.0,0.04838709677419355,0.8064516129032258
